topic_id,timestamp,bin_start,bin_end,frequency,growth_velocity,semantic_velocity,keywords
27,2019-11-01 12:00:00.000000,2019-10-21 00:00:00.000000,2019-11-13,0.000438596491228,-0.0029059537686674203,0.6090653538703918,"thursday, friday, wednesday, monday, tuesday"
27,2019-11-25 00:00:00.000000,2019-11-13 00:00:00.000000,2019-12-07,0.0008916629514043,0.00045286783393334683,0.3049672842025757,"tuesday, new, morning, monday"
27,2019-12-23 00:00:00.000000,2019-12-07 00:00:00.000000,2020-01-08,0.0008474576271186,-4.416594315047882e-05,0.3049672842025757,"thursday, friday, wednesday, monday, tuesday"
27,2020-01-22 00:00:00.000000,2020-01-08 00:00:00.000000,2020-02-05,0.0043103448275862,0.003459955035183546,0.58929443359375,"january, sydney, wednesday, nsw, tuesday"
27,2020-02-16 12:00:00.000000,2020-02-05 00:00:00.000000,2020-02-28,0.0026749888542131,-0.0016283372782084082,0.5532077550888062,"feb, february, thursday, wednesday, tuesday"
27,2020-03-11 12:00:00.000000,2020-02-28 00:00:00.000000,2020-03-24,0.0064655172413793,0.0037804158169914568,0.5135294795036316,"sydney, monday, wednesday, tuesday, friday"
27,2020-04-05 00:00:00.000000,2020-03-24 00:00:00.000000,2020-04-17,0.0026166593981683,-0.0038241328463595376,0.49529409408569336,"march, april, wednesday, thursday, friday"
27,2020-08-01 00:00:00.000000,2020-07-22 00:00:00.000000,2020-08-11,0.0021468441391155,0.000341174149675701,0.31072402000427246,"nsw, tuesday, monday, wednesday, thursday"
27,2020-08-19 12:00:00.000000,2020-08-11 00:00:00.000000,2020-08-28,0.0013363028953229,-0.0008088048658067548,0.3324401378631592,"wednesday, thursday, friday"
28,2019-03-28 00:00:00.000000,2019-03-16 00:00:00.000000,2019-04-09,0.0012760527435133,-0.0004304254034718015,0.8922898769378662,sand
28,2019-04-21 00:00:00.000000,2019-04-09 00:00:00.000000,2019-05-03,0.0008775778850372,-0.00039796703155365795,0.8922898769378662,"news, making, issues, regional, areas"
29,2019-03-28 00:00:00.000000,2019-03-16 00:00:00.000000,2019-04-09,0.0008507018290089,0.00042371774119794145,0.4912893772125244,"clarke, clark"
29,2019-05-14 12:00:00.000000,2019-05-03 00:00:00.000000,2019-05-26,0.0004387889425186,-0.00043840420868035494,0.4912893772125244,"markets, wednesday, clark, clarke, wrap"
29,2019-09-13 00:00:00.000000,2019-09-01 00:00:00.000000,2019-09-25,0.0008661758336942,0.0004193605766256143,0.6529879570007324,"wednesday, friday"
29,2019-10-08 00:00:00.000000,2019-09-25 00:00:00.000000,2019-10-21,0.00041928721174,-0.0004465018728222621,0.6529879570007324,"markets, wednesday, clark, clarke, wrap"
