model,topic_id,top_words
BERTopic,177,"asx, wall, street, dow, jones, nasdaq, fall, volatile, shares, jumps"
BERTopic,178,"ndis, nff, assessments, disability, ndia, advocates, funding, wheelchair, navigate, quadriplegic"
BERTopic,179,"coffee, food, delivery, foods, cook, restaurant, cooked, taste, beans, garlic"
BERTopic,180,"retail, retailers, sales, stores, kmart, stockpiling, shopping, target, store, chain"
BERTopic,181,"omicron, variant, booster, hospitalisations, strain, effectiveness, dominant, poses, sixth, warn"
BERTopic,182,"music, choir, concerts, musical, concert, musicians, singing, festivals, arts, gigs"
BERTopic,183,"belarus, lukashenko, minsk, belarusian, alexander, protests, protesters, migrants, polish, opposition"
BERTopic,184,"autism, autistic, lego, burke, diagnosis, therapy, adults, lunn, atypical, dinner"
BERTopic,185,"shorten, bill, robodebt, insiders, election, telegraph, campaign, shortens, labors, apprenticeships"
BERTopic,186,"indonesia, bali, indonesian, foreigners, flouting, eid, epicentre, widodo, indonesians, covid"
BERTopic,187,"newspaper, regional, corp, newspapers, print, news, issues, printing, making, rural"
BERTopic,188,"hotspot, declares, greater, locations, revokes, declared, northern, beaches, status, removes"
BERTopic,189,"childcare, tehan, subsidy, parents, child, free, dan, fees, tudge, grandparents"
BERTopic,190,"women, female, elected, parliament, politicians, representation, vote, husar, gender, politics"
BERTopic,191,"nuclear, chernobyl, kimba, fukushima, facility, radiation, waste, radioactive, plant, power"
BERTopic,192,"india, indias, senanayake, sanjaya, cremations, daily, vaccine, ugly, million, covid"
BERTopic,193,"mueller, robert, muellers, report, russia, barr, alexander, testimony, trump, donald"
BERTopic,194,"mcgowan, mark, premier, border, announces, alp, walkouts, pagers, presume, tues"
BERTopic,195,"dance, dancing, ballet, dancer, dancers, driveway, spicer, demonstrating, ballerinas, acosia"
BERTopic,196,"beaches, northern, cluster, beach, crowds, beachgoers, bondi, randwick, sydney, outbreak"
BERTopic,197,"studio, judy, jackman, hugh, biopic, copperfield, zellweger, review, renee, garland"
BERTopic,198,"philip, prince, duke, edinburgh, hospital, charles, queen, mourning, tribute, admitted"
BERTopic,199,"honours, queens, birthday, recipients, awards, award, order, honour, list, awarded"
BERTopic,200,"dame, notre, cathedral, spire, fire, flames, rebuild, inferno, engulfed, paris"
BERTopic,201,"premature, maternity, babies, births, birth, castlemaine, parental, suspended, caesarean, mothers"
BERTopic,202,"hawke, bob, hawkes, dalpuget, blanche, college, overshadowed, tributes, americas, immigration"
BERTopic,203,"weddings, wedding, funerals, funeral, guests, restrictions, married, couples, marries, venue"
BERTopic,204,"edwards, bradley, claremont, serial, killer, killings, trial, spiers, robert, john"
BERTopic,205,"explosion, gas, nashville, bomb, blast, pipeline, explodes, kills, chemical, leak"
BERTopic,206,"beirut, explosion, lebanon, blast, lebanese, lebanons, ammonium, nitrate, rubble, beiruts"
BERTopic,207,"electric, cars, vehicles, vehicle, car, sylvia, charging, grid, tax, slow"
BERTopic,208,"extremism, wing, right, extremists, terror, terrorism, terrorists, group, terrorist, antifa"
BERTopic,209,"teenager, teen, stabbing, teenagers, stabbed, charged, teens, murder, attempted, pyrmont"
BERTopic,210,"townsville, flood, floods, mould, floodwaters, flooding, flooded, clean, damaged, displaced"
BERTopic,211,"iran, tanker, iranian, oil, seizes, tankers, missiles, oman, gulf, military"
BERTopic,212,"monaro, eden, barilaro, john, constance, mcbain, kristy, greene, marjorie, nationals"
BERTopic,213,"ship, cruise, crew, kwinana, passengers, kembla, ships, docked, terminal, member"
BERTopic,214,"screen, playgroup, intergenerational, time, gaming, teenagers, your, parents, friendships, screens"
BERTopic,215,"yuendumu, rolfe, zachary, hoffmann, kumanjayi, walker, benjamin, shooter, committal, darwin"
BERTopic,216,"university, fee, cuts, sturt, charles, humanities, fees, degree, job, universities"
BERTopic,217,"venezuela, maduro, guaido, venezuelan, juan, venezuelas, venezuelans, nicolas, military, opposition"
BERTopic,218,"mouse, plague, mice, rat, rats, howe, infestation, lord, rodent, oporto"
BERTopic,219,"landslide, indonesia, sulawesi, landslides, least, earthquake, floods, jakarta, java, kill"
BERTopic,220,"sri, lanka, bombings, lankan, colombo, churches, easter, attacks, bombed, studied"
BERTopic,221,"sport, sports, community, clubs, masters, postponed, soceroos, kellond, coronacoaster, langerak"
BERTopic,222,"antony, green, greens, election, calculator, conservatives, looks, predicts, result, poll"
BERTopic,223,"gunner, michael, unions, cfmmeu, chief, union, industrial, relations, cfmeu, minister"
BERTopic,224,"eurovision, contest, montaigne, performs, tel, aviv, song, heidke, icelands, mun"
BERTopic,225,"climate, morrison, scott, change, glasgow, emissions, summit, morrisons, policy, carry"
BERTopic,226,"lending, mortgage, loan, borrowers, responsible, apra, deferrals, arrears, counsellors, lenders"
BERTopic,227,"origin, maroons, state, blues, iii, game, kezie, decider, lang, qld"
BERTopic,228,"thunberg, greta, attenborough, kingborough, climate, cop, david, activist, summit, sir"
BERTopic,229,"ambassador, france, french, cam, sinodinos, consul, relationship, pulch, garfield, adieu"
BERTopic,230,"khalif, benbrika, ali, khayat, sentenced, plot, abdul, terrorist, khawaja, abdirahman"
BERTopic,231,"pool, pools, swimming, baths, rooftop, figure, indoor, griffin, ocean, scraping"
BERTopic,232,"restrictions, easing, flags, further, ease, level, travel, exemptions, tomorrow, midnight"
BERTopic,233,"petrol, oil, prices, fuel, refinery, price, mobil, crude, vary, gas"
BERTopic,234,"tyrrell, william, jubelin, gary, inquest, tyrrells, spedding, tyrell, hears, detective"
