topic_id,event_date,frequency,z_score,keywords,event_type
30,2020-01-22 00:00:00.000000,0.0064655172413793,4.52,,SUDDEN_SPIKE_FREQ
54,2019-12-23 00:00:00.000000,0.0033898305084745,4.52,,SUDDEN_SPIKE_FREQ
602,2021-07-13 00:00:00.000000,0.003479773814702,4.52,,SUDDEN_SPIKE_FREQ
361,2019-07-27 00:00:00.000000,0.0051194539249146,4.5,,SUDDEN_SPIKE_FREQ
422,2020-07-12 12:00:00.000000,0.0049638989169675,4.5,,SUDDEN_SPIKE_FREQ
301,2021-11-26 00:00:00.000000,0.0030395136778115,4.5,,SUDDEN_SPIKE_FREQ
556,2021-07-13 00:00:00.000000,0.0117442366246194,4.5,,SUDDEN_SPIKE_FREQ
152,2019-12-23 00:00:00.000000,0.0110169491525423,4.49,,SUDDEN_SPIKE_FREQ
452,2019-07-02 12:00:00.000000,0.0040376850605652,4.48,,SUDDEN_SPIKE_FREQ
534,2019-09-13 00:00:00.000000,0.0034647033347769,4.48,,SUDDEN_SPIKE_FREQ
549,2019-11-01 12:00:00.000000,0.0122807017543859,4.48,,SUDDEN_SPIKE_FREQ
510,2020-06-05 12:00:00.000000,0.0063856960408684,4.47,,SUDDEN_SPIKE_FREQ
172,2019-04-21 00:00:00.000000,0.0048266783677051,4.47,,SUDDEN_SPIKE_FREQ
613,2020-09-26 12:00:00.000000,0.0031818181818181,4.47,,SUDDEN_SPIKE_FREQ
73,2019-04-21 00:00:00.000000,0.0078982009653356,4.45,,SUDDEN_SPIKE_FREQ
33,2021-04-30 12:00:00.000000,0.0065588106689986,4.44,,SUDDEN_SPIKE_FREQ
236,2021-04-30 12:00:00.000000,0.0043725404459991,4.44,,SUDDEN_SPIKE_FREQ
197,2020-04-27 12:00:00.000000,0.003765690376569,4.43,,SUDDEN_SPIKE_FREQ
51,2021-03-11 12:00:00.000000,0.004816112084063,4.42,,SUDDEN_SPIKE_FREQ
388,2019-12-23 00:00:00.000000,0.0097457627118644,4.41,,SUDDEN_SPIKE_FREQ
